invoice-number;branch;city;type-user;gender;category;cost of goods sold;sale;date;time;payment;review
750-67-8428;A;Nueva York;Member;Female;Health and beauty;$ 52.283;$ 5.489.715;1/5/2019;13:08;Ewallet;9.1
226-31-3081;C;Houston;Normal;Female;Electronic accessories;$ 764;$ 80;3/8/2019;10:29;Cash;9.6
631-41-3108;A;Nueva York;Normal;Male;Home and lifestyle;$ 32.431;$ 3.405.255;3/3/2019;13:23;Credit card;7.4
123-19-1176;A;Nueva York;Member;Male;Health and beauty;$ 46.576;$ 489.048;1/27/2019;20:33;Ewallet;8.4
373-73-7910;A;Nueva York;Normal;Male;Sports and travel;$ 60.417;$ 6.343.785;2/8/2019;10:37;Ewallet;5.3
699-14-3026;C;Houston;Normal;Male;Electronic accessories;$ 59.773;$ 6.276.165;3/25/2019;18:30;Ewallet;4.1
355-53-5943;A;Nueva York;Member;Female;Electronic accessories;$ 41.304;$ 433.692;2/25/2019;14:36;Ewallet;5.8
315-22-5665;C;Houston;Normal;Female;Home and lifestyle;$ 7.356;$ 772;2/24/2019;11:38;Ewallet;8
665-32-9167;A;Nueva York;Member;Female;Health and beauty;$ 7.252;$ 76.146;1/10/2019;17:15;Credit card;7.2
692-92-5582;B;Chicago;Member;Female;Food and beverages;$ 16.452;$ 172.746;2/20/2019;13:27;Credit card;5.9
351-62-0822;B;Chicago;Member;Female;Fashion accessories;$ 5.792;$ 60.816;2/6/2019;18:07;Ewallet;4.5
529-56-3974;B;Chicago;Member;Male;Electronic accessories;$ 10.204;$ 107.142;3/9/2019;17:03;Cash;6.8
365-64-0515;A;Nueva York;Normal;Female;Electronic accessories;$ 23.475;$ 2.464.875;2/12/2019;10:25;Ewallet;7.1
252-56-2699;A;Nueva York;Normal;Male;Food and beverages;$ 4.319;$ 453.495;2/7/2019;16:48;Ewallet;8.2
829-34-3910;A;Nueva York;Normal;Female;Health and beauty;$ 7.138;$ 749;3/29/2019;19:21;Cash;5.7
299-46-1805;B;Chicago;Member;Female;Sports and travel;$ 56.232;$ 590.436;1/15/2019;16:19;Cash;4.5
656-95-9349;A;Nueva York;Member;Female;Health and beauty;$ 48.251;$ 5.066.355;3/11/2019;11:03;Credit card;4.6
765-26-6951;A;Nueva York;Normal;Male;Sports and travel;$ 43.566;$ 457.443;1/1/2019;10:39;Credit card;6.9
329-62-1586;A;Nueva York;Normal;Male;Food and beverages;$ 16.401;$ 1.722.105;1/21/2019;18:00;Credit card;8.6
319-50-3348;B;Chicago;Normal;Female;Home and lifestyle;$ 806;$ 8.463;3/11/2019;15:30;Ewallet;4.4
300-71-4605;C;Houston;Member;Male;Electronic accessories;$ 4.302;$ 45.171;2/25/2019;11:24;Ewallet;4.8
371-85-5789;B;Chicago;Normal;Male;Health and beauty;$ 26.394;$ 277.137;3/5/2019;10:40;Ewallet;5.1
273-16-6619;B;Chicago;Normal;Male;Home and lifestyle;$ 664;$ 6.972;3/15/2019;12:20;Credit card;4.4
636-48-8204;A;Nueva York;Normal;Male;Electronic accessories;$ 1.728;$ 18.144;2/17/2019;11:15;Ewallet;9.9
549-59-1358;A;Nueva York;Member;Male;Sports and travel;$ 26.589;$ 2.791.845;3/2/2019;17:36;Ewallet;6
227-03-5010;A;Nueva York;Member;Female;Home and lifestyle;$ 42.072;$ 441.756;3/22/2019;19:20;Credit card;8.5
649-29-6775;B;Chicago;Normal;Male;Fashion accessories;$ 3.352;$ 35.196;2/8/2019;15:31;Cash;6.7
189-17-4241;A;Nueva York;Normal;Female;Fashion accessories;$ 17.534;$ 184.107;3/10/2019;12:17;Credit card;7.7
145-94-9061;B;Chicago;Normal;Female;Food and beverages;$ 4.418;$ 46.389;1/25/2019;19:48;Cash;9.6
848-62-7243;A;Nueva York;Normal;Male;Health and beauty;$ 22.401;$ 2.352.105;3/15/2019;15:36;Cash;7.4
871-79-8483;B;Chicago;Normal;Male;Fashion accessories;$ 47.065;$ 4.941.825;2/25/2019;19:39;Credit card;4.8
149-71-6266;B;Chicago;Member;Male;Sports and travel;$ 70.263;$ 7.377.615;1/28/2019;12:43;Cash;4.5
640-49-2076;B;Chicago;Normal;Male;Sports and travel;$ 67.024;$ 703.752;1/10/2019;14:49;Cash;5.1
595-11-5460;A;Nueva York;Normal;Male;Health and beauty;$ 19.316;$ 202.818;3/15/2019;10:12;Credit card;5.1
183-56-6882;C;Houston;Member;Female;Food and beverages;$ 39.768;$ 417.564;2/6/2019;10:42;Ewallet;7.5
232-16-2483;C;Houston;Member;Female;Sports and travel;$ 6.812;$ 71.526;1/7/2019;12:28;Ewallet;6.8
129-29-8530;A;Nueva York;Member;Male;Sports and travel;$ 3.131;$ 328.755;3/10/2019;19:15;Ewallet;7
272-65-1806;A;Nueva York;Normal;Female;Electronic accessories;$ 54.792;$ 575.316;1/15/2019;17:17;Ewallet;4.7
333-73-7901;C;Houston;Normal;Female;Health and beauty;$ 43.936;$ 461.328;3/23/2019;13:24;Ewallet;7.6
777-82-7220;B;Chicago;Member;Male;Home and lifestyle;$ 24.096;$ 253.008;3/3/2019;13:01;Cash;7.7
280-35-5823;B;Chicago;Member;Female;Home and lifestyle;$ 8.672;$ 91.056;1/17/2019;18:45;Ewallet;7.9
554-53-8700;C;Houston;Member;Male;Home and lifestyle;$ 11.222;$ 117.831;2/2/2019;10:11;Cash;6.3
354-25-5821;B;Chicago;Member;Female;Sports and travel;$ 41.472;$ 435.456;2/8/2019;13:03;Cash;5.6
228-96-1411;C;Houston;Member;Female;Food and beverages;$ 7.896;$ 82.908;3/4/2019;20:39;Cash;7.6
617-15-4209;C;Houston;Member;Male;Health and beauty;$ 3.074;$ 32.277;3/16/2019;19:47;Cash;7.2
132-32-9879;B;Chicago;Member;Female;Electronic accessories;$ 37.584;$ 394.632;3/9/2019;18:00;Cash;9.5
370-41-7321;B;Chicago;Member;Male;Health and beauty;$ 51.021;$ 5.357.205;2/27/2019;17:24;Credit card;8.4
727-46-3608;B;Chicago;Member;Female;Food and beverages;$ 18.009;$ 1.890.945;2/6/2019;15:47;Ewallet;4.1
669-54-1719;B;Chicago;Member;Male;Electronic accessories;$ 11.358;$ 119.259;2/10/2019;12:45;Credit card;8.1
574-22-5561;C;Houston;Member;Female;Fashion accessories;$ 8.263;$ 867.615;3/19/2019;17:08;Ewallet;7.9
326-78-5178;C;Houston;Member;Male;Food and beverages;$ 6.398;$ 67.179;2/3/2019;10:19;Cash;9.5
162-48-8011;A;Nueva York;Member;Female;Food and beverages;$ 22.295;$ 2.340.975;2/10/2019;15:10;Cash;8.5
616-24-2851;B;Chicago;Member;Female;Fashion accessories;$ 7.148;$ 75.054;3/22/2019;14:42;Ewallet;6.5
778-71-5554;C;Houston;Member;Male;Fashion accessories;$ 1.543;$ 162.015;1/25/2019;15:46;Credit card;6.1
242-55-6721;B;Chicago;Normal;Male;Home and lifestyle;$ 3.232;$ 33.936;3/7/2019;11:49;Ewallet;6.5
399-46-5918;C;Houston;Normal;Female;Electronic accessories;$ 68.784;$ 722.232;2/28/2019;19:01;Cash;8.2
106-35-6779;A;Nueva York;Member;Male;Home and lifestyle;$ 8.868;$ 93.114;3/27/2019;11:26;Cash;5.8
635-40-6220;A;Nueva York;Normal;Male;Health and beauty;$ 7.168;$ 75.264;2/7/2019;11:28;Ewallet;6.6
817-48-8732;A;Nueva York;Member;Female;Home and lifestyle;$ 7.235;$ 759.675;1/20/2019;15:55;Cash;5.4
120-06-4233;C;Houston;Normal;Male;Electronic accessories;$ 18.366;$ 192.843;3/12/2019;20:36;Cash;9.3
285-68-5083;C;Houston;Member;Female;Sports and travel;$ 7.422;$ 77.931;2/15/2019;17:47;Credit card;10
803-83-5989;C;Houston;Normal;Male;Home and lifestyle;$ 33.438;$ 351.099;2/24/2019;10:55;Ewallet;7
347-34-2234;B;Chicago;Member;Female;Sports and travel;$ 49.563;$ 5.204.115;2/3/2019;13:40;Ewallet;10
199-75-8169;A;Nueva York;Member;Male;Sports and travel;$ 1.581;$ 166.005;3/6/2019;12:27;Credit card;8.6
853-23-2453;B;Chicago;Member;Male;Health and beauty;$ 30.296;$ 318.108;2/14/2019;14:35;Cash;7.6
877-22-3308;A;Nueva York;Member;Male;Health and beauty;$ 1.587;$ 166.635;3/13/2019;16:40;Cash;5.8
838-78-4295;C;Houston;Normal;Female;Health and beauty;$ 6.694;$ 70.287;2/10/2019;15:43;Ewallet;6.7
109-28-2512;B;Chicago;Member;Female;Fashion accessories;$ 58.566;$ 614.943;1/7/2019;15:01;Ewallet;9.9
232-11-3025;A;Nueva York;Normal;Male;Sports and travel;$ 7.877;$ 827.085;1/24/2019;10:04;Cash;6.4
382-03-4532;A;Nueva York;Member;Female;Health and beauty;$ 1.833;$ 192.465;2/2/2019;18:50;Cash;4.3
393-65-2792;C;Houston;Normal;Male;Food and beverages;$ 8.948;$ 93.954;1/6/2019;12:46;Credit card;9.6
796-12-2025;C;Houston;Normal;Male;Fashion accessories;$ 6.212;$ 65.226;2/11/2019;16:19;Cash;5.9
510-95-6347;B;Chicago;Member;Female;Food and beverages;$ 14.556;$ 152.838;3/5/2019;18:17;Ewallet;4
841-35-6630;C;Houston;Normal;Female;Electronic accessories;$ 45.546;$ 478.233;3/9/2019;18:21;Cash;8.7
287-21-9091;A;Nueva York;Normal;Male;Home and lifestyle;$ 67.203;$ 7.056.315;1/22/2019;10:55;Ewallet;9.4
732-94-0499;C;Houston;Normal;Female;Electronic accessories;$ 4.165;$ 437.325;1/13/2019;17:04;Credit card;5.4
263-10-3913;C;Houston;Member;Male;Fashion accessories;$ 44.136;$ 463.428;1/9/2019;14:20;Credit card;8.6
381-20-0914;A;Nueva York;Member;Female;Fashion accessories;$ 18.009;$ 1.890.945;1/12/2019;15:48;Credit card;5.7
